Tiempo (ms),V1 - V2
0,2.0
1,0.45
2,0.45
3,0.46
4,0.45
5,0.45
6,0.45
7,0.46
8,0.45
9,0.45
10,0.44
11,0.45
12,0.45
13,0.45
14,0.45
15,0.45
16,0.46
17,0.46
18,0.41
19,0.45
20,0.46
21,0.44
22,0.45
23,0.45
24,0.44
25,0.46
26,0.45
27,0.46
28,0.45
29,0.44
30,0.46
31,0.45
32,0.45
33,0.45
34,0.46
35,0.45
36,0.45
37,0.45
38,0.45
39,0.44
40,0.44
41,0.45
42,0.46
43,0.44
44,0.44
45,0.45
46,0.45
47,0.44
48,0.44
49,0.44
50,0.44
51,0.45
52,0.44
53,0.44
54,0.44
55,0.44
56,0.43
57,0.43
58,0.44
59,0.45
60,0.45
61,0.44
62,0.45
63,0.45
64,0.44
65,0.43
66,0.72
67,0.73
68,0.75
69,0.73
70,1.14
71,1.15
72,1.15
73,1.42
74,1.4
75,1.42
76,1.42
77,1.42
78,1.6
79,1.6
80,1.61
81,1.67
82,1.73
83,1.74
84,1.74
85,1.78
86,1.82
87,1.83
88,1.81
89,1.82
90,1.85
91,1.88
92,1.87
93,1.89
94,1.9
95,1.95
96,1.93
97,1.94
98,1.94
99,1.92
100,1.95
101,1.96
102,1.96
103,1.97
104,1.97
105,1.96
106,1.98
107,1.97
108,1.98
109,1.98
110,1.97
111,1.99
112,1.99
113,2.0
114,1.98
115,1.99
116,2.0
117,2.0
118,1.99
119,2.0
120,1.99
121,2.0
122,2.0
123,2.0
124,2.0
125,2.01
126,2.01
127,2.01
128,2.01
129,2.0
130,2.02
131,2.01
132,2.0
133,2.0
134,2.01
135,2.01
136,2.01
137,2.01
138,2.0
139,2.0
140,2.01
141,2.01
142,2.01
143,2.01
144,2.01
145,2.01
146,2.0
147,2.01
148,2.02
149,2.01
150,2.0
151,2.01
152,2.02
153,2.01
154,2.02
155,2.02
156,2.01
157,2.03
158,2.01
159,2.0
160,2.02
161,2.01
162,2.01
163,2.02
164,2.02
165,2.0
166,2.01
167,2.02
168,2.01
169,2.01
170,2.01
171,2.01
172,2.01
173,2.02
174,2.01
175,2.0
176,2.01
177,2.01
178,2.0
179,1.99
180,1.97
181,1.98
182,1.75
183,1.51
184,1.5
185,1.48
186,1.34
187,1.33
188,1.16
189,1.06
190,1.06
191,1.05
192,0.93
193,0.86
194,0.86
195,0.86
196,0.77
197,0.77
198,0.73
199,0.73
200,0.68
201,0.68
202,0.65
203,0.63
204,0.64
205,0.58
206,0.58
207,0.59
208,0.59
209,0.54
210,0.55
211,0.54
212,0.54
213,0.54
214,0.52
215,0.51
216,0.5
217,0.52
218,0.48
219,0.49
220,0.5
221,0.48
222,0.48
223,0.48
224,0.49
225,0.48
226,0.47
227,0.47
228,0.47
229,0.46
230,0.46
231,0.46
232,0.47
233,0.46
234,0.46
235,0.45
236,0.45
237,0.46
238,0.45
239,0.45
240,0.45
241,0.43
242,0.46
243,0.45
244,0.44
245,0.44
246,0.44
247,0.45
248,0.44
249,0.44
250,0.45
251,0.44
252,0.45
253,0.44
254,0.44
255,0.45
256,0.44
257,0.44
258,0.44
259,0.45
260,0.45
261,0.44
262,0.44
263,0.45
264,0.45
265,0.43
266,0.45
267,0.44
268,0.45
269,0.45
270,0.45
271,0.46
272,0.46
273,0.45
274,0.45
275,0.44
276,0.45
277,0.44
278,0.44
279,0.44
280,0.44
281,0.45
282,0.44
283,0.45
284,0.45
285,0.44
